Source	SourceLatitude	SourceLongitude	Destination	DestinationLatitude	DestinationLongitude	AirDistanceInKilometers
Pyongyang, North Korea	39.0392	125.7625	Tokyo, Japan	35.6895	139.6917	1286
Pyongyang, North Korea	39.0392	125.7625	Sydney, Australia	-33.8688	151.2093	8530
Pyongyang, North Korea	39.0392	125.7625	Guam	13.4443	144.7937	3408
Pyongyang, North Korea	39.0392	125.7625	New York, New York, USA	40.7128	-74.0060	10935
Pyongyang, North Korea	39.0392	125.7625	Seattle, Washington, USA	47.6062	-122.3321	8276
Pyongyang, North Korea	39.0392	125.7625	Washington, DC, USA	38.9072	-77.0369	11054
Pyongyang, North Korea	39.0392	125.7625	London, United Kingdom	51.5074	-0.1278	8672
Pyongyang, North Korea	39.0392	125.7625	Cape Town, South Africa	-33.9249	18.4241	13684
Pyongyang, North Korea	39.0392	125.7625	Cairo, Egypt	30.1198	31.5370	8326
Pyongyang, North Korea	39.0392	125.7625	Rome, Italy	41.9028	12.4964	8784
Pyongyang, North Korea	39.0392	125.7625	Honolulu, Hawaii, USA	21.3069	-157.8583	7399
Pyongyang, North Korea	39.0392	125.7625	Anchorage, Alaska, USA	61.2181	-149.9003	6002
Pyongyang, North Korea	39.0392	125.7625	Buenos Aires, Argentina	-34.6037	-58.3816	19421
Pyongyang, North Korea	39.0392	125.7625	San Juan, Puerto Rico	18.4655	-66.1057	13517
